観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,1日の最大値(mm),1日の最大値の品質情報,1日の最大値起時（時）(まで),1日の最大値起時（分）(まで),1日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,31日までの観測史上1位の値(mm),31日までの観測史上1位の値の品質情報,31日までの観測史上1位の値の年,31日までの観測史上1位の値の月,31日までの観測史上1位の値の日,31日までの1月の1位の値(mm),31日までの1月の1位の値の品質情報,31日までの1月の1位の値の年,31日までの1月の1位の値の月,31日までの1月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,45,8,1996,08,18,7.0,8,2019,01,30,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2025,01,01,12,10,0.0,8,0.0,4,,,,,,64.0,8,1938,09,01,16.0,8,1963,01,03,1938
11046,北海道 宗谷地方,礼文（レブン）,,2025,01,01,12,10,0.5,8,2.5,4,11,52,4,,,50.5,8,2020,08,07,8.5,8,2021,01,14,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,46.0,8,2010,09,20,4.5,8,2018,01,19,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,50.0,8,2013,08,24,8,8,1996,01,29,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2025,01,01,12,10,0.0,8,1.0,4,01,29,4,,,51.5,8,2020,10,03,7.0,8,2024,01,15,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,67.5,8,2021,10,04,7.0,8,2022,01,02,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2025,01,01,12,10,1.0,8,1.5,4,03,49,4,,,44.5,8,2023,11,03,12,8,1997,01,03,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,47.5,8,2019,07,27,24,8,1979,01,28,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,45.0,8,2021,10,04,5,8,1997,01,03,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,42,8,1999,08,22,6.0,8,2022,01,12,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2025,01,01,12,10,0.0,8,0.5,4,02,56,4,,,43.0,8,2023,08,27,11.0,8,1975,01,18,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,44.5,8,2023,08,25,9.0,8,2013,01,03,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,45.5,8,2024,08,27,6.0,8,2013,01,26,2006
12011,北海道 上川地方,中川（ナカガワ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,47.5,8,2015,08,14,7.0,8,2013,01,26,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,56.5,8,2019,07,19,7,8,1990,01,16,1978
12066,北海道 上川地方,小車（オグルマ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,55.0,8,2023,06,29,4.5,8,2013,01,25,2006
12141,北海道 上川地方,美深（ビフカ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,46,8,2006,07,18,5.5,8,2013,01,25,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2025,01,01,12,10,0.0,8,0.0,4,,,,,,52.0,8,2017,07,10,5.5,8,2013,01,25,1976
