観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2023,04,30,18,20,21.0,8,21.0,4,18,20,8,,,150.0,8,2020,08,07,40,8,1990,04,24,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2023,04,30,18,20,18.0,8,18.0,4,18,20,8,,,195.5,8,2016,09,06,51.5,8,2023,04,17,1976
11046,北海道 宗谷地方,礼文（レブン）,,2023,04,30,18,20,19.0,8,19.0,4,18,20,8,,,183.0,8,2014,08,24,51.5,8,2011,04,17,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2023,04,30,18,20,1.0,8,3.0,4,01,40,8,,,157.0,8,2016,09,06,30.0,8,2021,04,19,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,04,30,18,20,20.5,8,20.5,4,18,20,8,,,141.0,8,2015,07,14,42,8,2003,04,30,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2023,04,30,18,20,7.5,8,7.5,4,18,20,8,,,176.5,8,2016,09,06,28.5,8,2022,04,09,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2023,04,30,18,20,9.0,8,9.0,4,18,20,8,,,111.0,8,2020,08,07,59,8,1989,04,17,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2023,04,30,18,20,11.0,8,11.0,4,18,20,8,,,168.0,8,2016,09,06,90,8,1989,04,17,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2023,04,30,18,20,12.5,8,12.5,4,18,20,8,,,129.5,8,2014,08,24,49,8,2002,04,25,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2023,04,30,18,20,9.0,8,9.0,4,18,20,8,,,118,8,1981,08,06,65,8,1989,04,17,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2023,04,30,18,20,13.0,8,13.0,4,18,20,8,,,139.0,8,2015,10,09,69.0,8,2021,04,30,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2023,04,30,18,20,11.0,8,11.0,4,18,20,8,,,154.0,8,2015,10,09,77,8,1989,04,17,1976
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2023,04,30,18,20,14.0,8,14.0,4,18,20,8,,,170,8,1979,10,20,77.0,8,2023,04,17,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2023,04,30,18,20,11.0,8,11.0,4,18,20,8,,,129.0,8,2014,08,24,31.5,8,2021,04,19,2006
12011,北海道 上川地方,中川（ナカガワ）,,2023,04,30,18,20,12.0,8,12.0,4,18,20,8,,,167.0,8,2022,08,09,40,8,2003,04,30,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2023,04,30,18,20,11.5,8,11.5,4,18,20,8,,,158.0,8,2022,08,09,45.0,8,2021,04,30,1978
12066,北海道 上川地方,小車（オグルマ）,,2023,04,30,18,20,12.0,8,12.0,4,18,20,8,,,159,8,2006,10,08,45.5,8,2021,04,30,2006
12141,北海道 上川地方,美深（ビフカ）,,2023,04,30,18,20,5.0,8,5.0,4,18,20,8,,,151.5,8,2014,08,05,35,8,1990,04,24,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2023,04,30,18,20,16.0,8,16.0,4,18,20,8,,,153.5,8,2014,08,05,37,8,1991,04,30,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2023,04,30,18,20,20.0,8,20.0,4,18,20,8,,,160.0,8,2014,08,05,28.0,8,2011,04,17,2006
12231,北海道 上川地方,下川（シモカワ）,,2023,04,30,18,20,12.0,8,12.0,4,18,20,8,,,192,8,1981,08,04,31.0,8,2021,04,30,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2023,04,30,18,20,17.5,8,17.5,4,18,20,8,,,147.0,8,2011,09,03,27.5,8,2011,04,17,2006
12261,北海道 上川地方,士別（シベツ）,,2023,04,30,18,20,15.5,8,15.5,4,18,20,8,,,167,8,1981,08,04,38,8,1991,04,30,1976
12266,北海道 上川地方,朝日（アサヒ）,,2023,04,30,18,20,11.0,8,11.0,4,18,20,8,,,179,8,1981,08,04,33,8,1991,04,30,1976
12301,北海道 上川地方,和寒（ワッサム）,,2023,04,30,18,20,16.5,8,16.5,4,18,20,8,,,163,8,1981,08,05,46,8,1991,04,30,1977
